"","title","year","length","rating","votes","budget","budget class"
"43311","Riding the Bullet",2004,98,5.2,438,5000000,"0-10"
"43339","Right Stuff, The",1983,193,7.9,12907,27000000,"20-30"
"43374","Ring, The",2002,115,7.4,30687,45000000,"40-50"
"43386","Ringu",1998,96,7.4,8091,1200000,"0-10"
"43394","Rio Grande",1950,105,7.3,1732,1214899,"0-10"
"43396","Rio Lobo",1970,114,6.6,977,4000000,"0-10"
"43397","Rio Peligroso: A Day in the Life of a Legendary Coyote",2004,25,8.8,9,5000,"0-10"
"43420","Ripley's Game",2002,112,6.6,2680,30000000,"30-40"
"43426","Riptide",1934,92,6.3,61,500000,"0-10"
"43442","Rising of the Moon, The",2002,6,8.3,6,1500,"0-10"
"43447","Risky Business",1983,98,6.7,8622,6200000,"0-10"
"43486","River Wild, The",1994,111,6.1,4942,45000000,"40-50"
"43490","River's Edge",1986,99,7.1,2139,1700000,"0-10"
"43530","Road Trip",2000,94,6.3,15981,15600000,"10-20"
"43535","Road to El Dorado, The",2000,89,6.3,2838,95000000,"90-100"
"43544","Road to Perdition",2002,117,7.7,30526,80000000,"80-90"
"43573","Roadside Attractions",2004,15,8.2,8,6500,"0-10"
"43574","Roadside Convenience",2003,15,7.6,6,1000,"0-10"
"43580","Roar",1981,102,5.3,72,17000000,"10-20"
"43587","Rob Roy",1995,133,6.8,6652,28000000,"20-30"
"43597","Robbie's Brother",2001,88,7,8,1000000,"0-10"
"43601","Robe, The",1953,135,6.6,1074,5000000,"0-10"
"43605","Roberta",1935,106,6.9,260,610000,"0-10"
"43608","Roberta Wells",2004,8,4,15,1000,"0-10"
"43613","Robin Hood",1922,127,7.5,143,1000000,"0-10"
"43614","Robin Hood",1973,83,7.2,3396,15000000,"10-20"
"43623","Robin Hood: Prince of Thieves",1991,155,6.5,20286,50000000,"50-60"
"43625","Robin and Marian",1976,106,6.6,1703,5000000,"0-10"
"43631","Robinson Crusoe on Mars",1964,110,6.6,657,1200000,"0-10"
"43637","Robo Vampire",1988,90,1.8,90,2500000,"0-10"
"43639","RoboCop",1987,103,7.1,15974,13000000,"10-20"
"43640","RoboCop 3",1993,104,3.2,4519,22000000,"20-30"
"43647","Robot Jox",1990,85,3.9,592,10000000,"10-20"
"43648","Robot Monster",1953,66,2.4,723,16000,"0-10"
"43654","Robots",2005,91,6.4,4089,75000000,"70-80"
"43660","Rock 'n' Roll Frankenstein",1999,88,4.3,66,250000,"0-10"
"43661","Rock 'n' Roll High School",1979,93,6.6,1221,300000,"0-10"
"43666","Rock Around the Clock",1956,77,5.4,123,300000,"0-10"
"43673","Rock Star",2001,105,5.8,5100,38000000,"30-40"
"43674","Rock and Roll Fantasy",1992,90,4.4,37,50000,"0-10"
"43681","Rock, The",1996,136,7,46184,75000000,"70-80"
"43700","Rocketship X-M",1950,77,4.9,294,94000,"0-10"
"43713","Rockula",1990,87,4.5,89,1500000,"0-10"
"43716","Rocky",1976,119,7.8,22893,1100000,"0-10"
"43718","Rocky Horror Picture Show, The",1975,98,6.8,16737,1200000,"0-10"
"43721","Rocky IV",1985,91,5.3,11503,31000000,"30-40"
"43742","Roger & Me",1989,91,7.7,7674,160000,"0-10"
"43750","Rogue Trader",1999,101,6.1,1379,12800000,"10-20"
"43756","Roi danse, Le",2000,115,5.9,422,21000000,"20-30"
"43778","Rollerball",2002,97,2.8,5328,70000000,"70-80"
"43790","Roma",2004,155,7.5,105,2763806,"0-10"
"43799","Roman Holiday",1953,117,8.1,9431,1500000,"0-10"
"43801","Roman Scandals",1933,85,6.2,89,1000000,"0-10"
"43809","Romance",1930,76,5.3,52,496000,"0-10"
"43836","Romantic Englishwoman, The",1975,115,6,119,1200000,"0-10"
"43848","Romeo + Juliet",1996,120,6.7,22306,14500000,"10-20"
"43849","Romeo Division, The",2004,25,7.2,13,6000,"0-10"
"43851","Romeo Must Die",2000,115,5.8,10229,25000000,"20-30"
"43871","Ron's Night Out",1999,30,5.6,5,50000,"0-10"
"43878","Ronin",1998,121,7,21982,55000000,"50-60"
"43892","Rookie, The",2002,127,7.2,5135,24000000,"20-30"
"43900","Room with a View, A",1985,117,7.4,6369,3000000,"0-10"
"43901","Room, The",2003,99,2.7,81,6000000,"0-10"
"43904","Roommates",1995,108,6.1,456,22000000,"20-30"
"43912","Root of All Evil, The",2004,101,6.6,5,150000,"0-10"
"43916","Roots of Heaven, The",1958,121,6,91,4500000,"0-10"
"43918","Roozi khe zan shodam",2000,78,7.3,227,180000,"0-10"
"43919","Rope",1948,80,7.8,7916,1500000,"0-10"
"43934","Rosalie",1937,123,6.2,73,2000000,"0-10"
"43941","Rose & Alexander",2002,40,8.9,7,4800,"0-10"
"43955","Rose, The",1979,125,6.6,1076,8500000,"0-10"
"43966","Rosemary's Baby",1968,136,7.9,12033,3200000,"0-10"
"43974","Rosewood",1997,140,6.8,1840,31000000,"30-40"
"44035","Rounders",1998,121,7.2,13621,12000000,"10-20"
"44040","Route 666",2001,86,4,487,2300000,"0-10"
"44062","Roy",2000,11,6.9,15,500000,"0-10"
"44076","Royal Tenenbaums, The",2001,111,7.6,31227,21000000,"20-30"
"44077","Royal Wedding",1951,93,6.6,545,1590920,"0-10"
"44099","Ruby in Paradise",1993,114,7,827,800000,"0-10"
"44107","Rudolph Valentino and His 88 American Beauties",1923,13,4.1,9,0,"0-10"
"44125","Rugrats Go Wild!",2003,81,4.8,423,25000000,"20-30"
"44126","Rugrats Movie, The",1998,79,5.4,1455,28000000,"20-30"
"44127","Rugrats in Paris: The Movie - Rugrats II",2000,78,5.7,755,30000000,"30-40"
"44133","Rules of Attraction, The",2002,110,6.7,8552,4000000,"0-10"
"44134","Rules of Engagement",2000,128,6.3,7903,60000000,"60-70"
"44136","Rules, The",2004,29,8.9,9,20000,"0-10"
"44146","Rumble Fish",1983,94,6.8,3354,10000000,"10-20"
"44155","Rumpelstiltskin",1996,87,3,265,3000000,"0-10"
"44163","Run Leia Run",2003,16,5.5,32,0,"0-10"
"44175","Run, Angel, Run",1969,95,5.4,28,96000,"0-10"
"44182","Runaway Bride",1999,116,5.4,12624,70000000,"70-80"
"44188","Runaway Jury",2003,127,7.1,10761,60000000,"60-70"
"44192","Rundown, The",2003,104,6.5,8067,85000000,"80-90"
"44201","Running Brave",1983,106,6.1,156,8000000,"0-10"
"44210","Running Man, The",1987,101,6.2,11847,27000000,"20-30"
"44212","Running Out",2001,97,7.6,73,50000,"0-10"
"44218","Running Time",1997,70,7,305,120000,"0-10"
"44249","Rush Hour",1998,93,6.7,18336,35000000,"30-40"
"44250","Rush Hour 2",2001,86,6.5,16581,90000000,"90-100"
"44258","Rushmore",1998,93,7.7,22209,10000000,"10-20"
"44290","Rutland, USA",2002,100,3.9,15,4000,"0-10"
"44296","Ryan's Daughter",1970,202,7.4,965,15000000,"10-20"
"44298","Rymdinvasion i Lappland",1959,81,2.9,122,40000,"0-10"
"44313","S.C.I.E.N.C.E",2004,96,7.8,8,3000,"0-10"
"44325","S.W.A.T.",2003,117,5.9,12732,80000000,"80-90"
"44335","SSSSSSS",1973,99,4.4,383,1300000,"0-10"
"44339","Saadia",1953,82,4.6,8,1250000,"0-10"
"44363","Sabrina",1954,113,7.6,5933,2238813,"0-10"
"44364","Sabrina",1995,127,6.1,7547,58000000,"50-60"
"44379","Sacred Is the Flesh",2001,94,9.4,5,300000,"0-10"
"44388","Saddle Buster, The",1932,59,4.7,15,38000,"0-10"
"44416","Safe Men",1998,88,6.1,590,1000000,"0-10"
"44432","Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent, The",1957,66,2.5,144,65000,"0-10"
"44443","Sahara",1983,111,3.5,157,25000000,"20-30"
"44444","Sahara",2005,124,5.8,3004,130000000,"130-140"
"44486","Saint, The",1997,116,5.7,12591,70000000,"70-80"
"44493","Saints and Soldiers",2003,90,6.9,689,780000,"0-10"
"44526","Sally and Angela",2001,12,6.5,14,5000,"0-10"
"44554","Salton Sea, The",2002,107,7.2,5070,18000000,"10-20"
"44565","Salvador",1986,123,7.4,2568,4500000,"0-10"
"44593","Same Difference",2003,14,8.9,8,7000,"0-10"
"44621","Samsara",2001,138,7.6,636,3000000,"0-10"
"44641","San Francisco",1936,115,7.5,676,1300000,"0-10"
"44680","Sand Pebbles, The",1966,193,7.6,1773,12000000,"10-20"
"44695","Sandpiper, The",1965,117,5.4,268,5300000,"0-10"
"44698","Sands of Iwo Jima",1949,109,7,1353,1000000,"0-10"
"44713","Sangre eterna",2002,108,4.6,148,25000,"0-10"
"44721","Sankofa",1993,125,5.9,106,1000000,"0-10"
"44744","Santa Claus",1985,107,4.7,983,50000000,"50-60"
"44745","Santa Claus Conquers the Martians",1964,81,2.3,1876,200000,"0-10"
"44747","Santa Clause 2, The",2002,105,5.8,2616,60000000,"60-70"
"44762","Santa sangre",1989,123,7.2,1165,787000,"0-10"
"44784","Santos peregrinos",2004,94,4.5,20,900000,"0-10"
"44798","Sara",1997,105,6.3,175,835000,"0-10"
"44811","Saratoga Trunk",1945,135,5.9,153,1750000,"0-10"
"44883","Saturn",1999,94,5.5,43,350000,"0-10"
"44889","Satyricon",1969,129,6.5,1879,3000000,"0-10"
"44903","Savage",1995,99,4.1,93,5000000,"0-10"
"44923","Savage Roses",2002,90,2.7,17,15000,"0-10"
"44939","Save the Last Dance",2001,112,6.1,7613,13000000,"10-20"
"44944","Saved!",2004,92,7.1,6504,5000000,"0-10"
"44949","Saving Private Ryan",1998,170,8.3,100267,70000000,"70-80"
"44950","Saving Ryan's Privates",1998,8,6,74,6500,"0-10"
"44951","Saving Silverman",2001,96,5.4,6684,22000000,"20-30"
"44953","Savior",1998,104,7.2,1775,10000000,"10-20"
"44956","Saw",2004,100,7.5,17191,1200000,"0-10"
"44963","Say It Isn't So",2001,93,4.6,3144,25000000,"20-30"
"44984","Scam Artist, The",2004,76,7.1,12,500000,"0-10"
"45005","Scanner Cop II",1995,95,3.7,81,4000000,"0-10"
"45014","Scaramouche",1923,101,7.4,52,858723,"0-10"
"45015","Scaramouche",1952,115,7.6,779,3500000,"0-10"
"45033","Scarface",1983,170,7.9,28300,25000000,"20-30"
"45040","Scarlet Clue, The",1945,65,6.2,51,75000,"0-10"
"45045","Scarlet Empress, The",1934,104,7.5,579,900000,"0-10"
"45047","Scarlet Letter, The",1926,98,8,132,430290,"0-10"
"45049","Scarlet Letter, The",1995,135,4.4,2426,50000000,"50-60"
"45055","Scarlett Mecca and the Pentagram Girl",2000,20,6.3,8,20000,"0-10"
"45060","Scary Movie",2000,88,5.5,23293,19000000,"10-20"
"45061","Scary Movie 2",2001,83,4.2,12035,45000000,"40-50"
"45062","Scary Movie 3",2003,84,5.3,9225,45000000,"40-50"
"45070","Scene Smoking: Cigarettes, Cinema & the Myth of Cool",2001,59,2.6,28,145000,"0-10"
"45071","Scene Stealers",2004,99,8.6,14,75000,"0-10"
"45127","Schindler's List",1993,195,8.8,97667,25000000,"20-30"
"45132","Schizopolis",1996,96,7,917,250000,"0-10"
"45152","School Daze",1988,121,5.3,955,6500000,"0-10"
"45161","School of Rock, The",2003,108,7.4,16452,20000000,"20-30"
"45205","Scooby-Doo",2002,86,4.8,9618,84000000,"80-90"
"45206","Scope",2004,41,4.9,8,0,"0-10"
"45215","Score, The",2001,124,6.8,16106,68000000,"60-70"
"45222","Scorpio Rising",1964,30,6.6,284,16000,"0-10"
"45223","Scorpion King, The",2002,92,5.3,10111,60000000,"60-70"
"45259","Scream",1996,111,7,43652,15000000,"10-20"
"45260","Scream 2",1997,120,5.9,21533,24000000,"20-30"
"45261","Scream 3",2000,116,5.4,15403,40000000,"40-50"
"45275","Screamers",1995,108,5.6,2725,11000000,"10-20"
"45291","Screen Test",1985,84,3.3,38,1000000,"0-10"
"45296","Screwballs",1983,80,4.3,241,800000,"0-10"
"45298","Screwed",2000,78,4.8,1592,10000000,"10-20"
"45331","Se7en",1995,127,8.4,88371,30000000,"30-40"
"45339","Sea Ghost",2004,90,3.7,10,1500000,"0-10"
"45343","Sea Hawk, The",1940,127,7.8,1124,1700000,"0-10"
"45362","Seabiscuit",2003,141,7.5,11552,86000000,"80-90"
"45375","Search and Destroy",1995,90,5,402,4000000,"0-10"
"45386","Searchers, The",1956,119,8.2,10211,3750000,"0-10"
"45388","Searching for Angela Shelton",2004,93,8.7,14,300000,"0-10"
"45390","Searching for Debra Winger",2002,97,5.6,301,600000,"0-10"
"45448","Secondhand Lions",2003,120,7.4,5543,30000000,"30-40"
"45462","Secret Beyond the Door...",1948,99,6.8,208,615065,"0-10"
"45464","Secret Ceremony",1968,109,5.4,146,3200000,"0-10"
"45465","Secret Cinema, The",1968,30,7.7,22,5000,"0-10"
"45480","Secret Invasion, The",1964,95,5.7,87,600000,"0-10"
"45481","Secret Journal of Benny Travis, The",2003,29,8.6,140,51000,"0-10"
"45482","Secret Kingdom, The",1998,90,3.9,47,800000,"0-10"
"45486","Secret Life of Girls, The",1999,90,5,145,2500000,"0-10"
"45517","Secret Window",2004,96,6.3,13260,40000000,"40-50"
"45536","Secret of the Purple Reef, The",1960,81,5.3,12,86000,"0-10"
"45548","Secrets",1933,90,6.5,16,531641,"0-10"
"45551","Secrets & Lies",1996,136,7.9,7747,4500000,"0-10"
"45591","See Spot Run",2001,94,5,1193,16000000,"10-20"
"45599","Seed of Chucky",2004,87,5.1,1342,12000000,"10-20"
"45654","Selena",1997,127,6.1,2870,20000000,"20-30"
"45726","Sensations",1975,86,5.1,23,250000,"0-10"
"45728","Sense and Sensibility",1995,136,7.7,13904,16500000,"10-20"
"45733","Sensitive New-Age Killer",2000,88,4.2,31,1000000,"0-10"
"45747","Sentinel, The",1977,92,5.5,552,3700000,"0-10"
"45774","September",1987,82,6.1,918,10000000,"10-20"
"45793","Serendipity",2001,90,6.6,10795,28000000,"20-30"
"45805","Sergeant York",1941,134,7.9,2239,1400000,"0-10"
"45818","Serial Mom",1994,95,6.3,4750,13000000,"10-20"
"45820","Series of Small Things, A",2005,23,8.4,7,15000,"0-10"
"45824","Serpent and the Rainbow, The",1988,98,5.9,2166,7000000,"0-10"
"45828","Serpent's Kiss, The",1997,104,5.3,368,13000000,"10-20"
"45829","Serpent's Lair",1995,90,4.1,118,4000000,"0-10"
"45839","Serving Sara",2002,99,4.6,2990,29000000,"20-30"
"45845","Session 9",2001,97,6.6,3718,1500000,"0-10"
"45853","Set It Off",1996,123,6.1,1619,9000000,"0-10"
"45866","Setta, La",1991,112,5.7,184,2000000,"0-10"
"45901","Seven Days in May",1964,118,7.8,1960,2200000,"0-10"
"45925","Seven Sinners",1940,87,6.4,171,760000,"0-10"
"45937","Seven Year Itch, The",1955,105,7.2,3211,3200000,"0-10"
"45939","Seven Years in Tibet",1997,139,6.6,9426,70000000,"70-80"
"45945","Seventh Coin, The",1993,92,4,58,900000,"0-10"
"46013","Sex, Lies, and Videotape",1989,100,7.1,7461,1200000,"0-10"
"46057","Sgt. Bilko",1996,93,5.1,3712,39000000,"30-40"
"46059","Sgt. Pepper's Lonely Hearts Club Band",1978,113,3.6,1419,18000000,"10-20"
"46062","Sh'Chur",1994,100,6.7,18,700000,"0-10"
"46073","Shade",2003,101,6.5,1616,6800000,"0-10"
"46083","Shadow Conspiracy",1997,103,4.5,1078,45000000,"40-50"
"46117","Shadow of the Vampire",2000,87,6.8,8366,8000000,"0-10"
"46122","Shadow, The",1994,108,5.2,3386,40000000,"40-50"
"46124","Shadowlands",2003,91,1.1,14,500000,"0-10"
"46132","Shadows Over Chinatown",1946,64,6,24,75000,"0-10"
"46133","Shadows and Fog",1992,85,6.3,2303,14000000,"10-20"
"46141","Shaft",1971,100,6.5,2923,1125000,"0-10"
"46142","Shaft",2000,99,6,13742,46000000,"40-50"
"46156","Shake, Rattle & Rock!",1956,72,5.1,27,79000,"0-10"
"46163","Shakes the Clown",1992,87,5.5,838,1400000,"0-10"
"46164","Shakespeare in Love",1998,122,7.5,41999,25000000,"20-30"
"46165","Shakespeare's Children",1996,50,5.1,12,100000,"0-10"
"46166","Shakespeare's Dilemma",2003,38,8,8,0,"0-10"
"46175","Shalako",1968,113,5.2,287,1455000,"0-10"
"46177","Shall We Dance",1937,109,7.6,603,991000,"0-10"
"46178","Shall We Dance",2004,106,6,3479,40000000,"40-50"
"46181","Shallow Grave",1994,93,7.4,9401,2500000,"0-10"
"46183","Shallow Hal",2001,113,6.1,13217,40000000,"40-50"
"46189","Shampoo Horns",1998,89,4.3,21,2500000,"0-10"
"46197","Shanghai Cobra, The",1945,64,5.9,55,75000,"0-10"
"46199","Shanghai Gesture, The",1941,98,6.7,233,1000000,"0-10"
"46201","Shanghai Knights",2003,114,6.3,7279,50000000,"50-60"
"46202","Shanghai Noon",2000,110,6.7,12258,55000000,"50-60"
"46204","Shanghai Surprise",1986,97,2.8,836,17000000,"10-20"
"46235","Shape of Things, The",2003,96,6.9,1816,4000000,"0-10"
"46241","Shards",2004,23,7.7,6,38000,"0-10"
"46247","Shark Tale",2004,90,5.9,7819,75000000,"70-80"
"46254","Sharks 3D",2004,42,7.8,6,4000000,"0-10"
"46263","Shattered Glass",2003,95,7.5,4108,6000000,"0-10"
"46266","Shaun of the Dead",2004,99,7.9,18685,4000000,"0-10"
"46269","Shawshank Redemption, The",1994,142,9.1,149494,25000000,"20-30"
"46282","She Demons",1958,77,2.6,47,65000,"0-10"
"46286","She Done Him Wrong",1933,66,6.8,512,200000,"0-10"
"46287","She Freak",1967,83,3.5,74,65000,"0-10"
"46288","She Gods of Shark Reef",1958,63,2.7,53,50000,"0-10"
"46291","She Had to Say Yes",1933,65,6,42,111000,"0-10"
"46303","She Wore a Yellow Ribbon",1949,103,7.5,2242,1600000,"0-10"
"46313","She's All That",1999,95,5.5,13070,10000000,"10-20"
"46317","She's Gotta Have It",1986,88,6.3,1034,160000,"0-10"
"46322","She's So Lovely",1997,100,5.7,2280,18000000,"10-20"
"46325","She's the One",1996,96,6,3779,3500000,"0-10"
"46326","She-Creature, The",1956,77,3.1,179,100000,"0-10"
"46332","Sheena",1984,117,4,618,25000000,"20-30"
"46349","Shelter",2003,80,4.6,5,125000,"0-10"
"46351","Shelter Island",2003,82,3.9,191,5000000,"0-10"
"46408","Shichinin no samurai",1954,206,8.9,32141,500000,"0-10"
"46435","Shine",1996,105,7.6,12425,5500000,"0-10"
"46445","Shining, The",1980,146,8.3,50908,19000000,"10-20"
"46465","Shipping News, The",2001,111,6.9,7695,35000000,"30-40"
"46499","Shock",1946,70,6.4,80,375000,"0-10"
"46502","Shock Act",2004,19,9.1,12,50000,"0-10"
"46505","Shock Treatment",1981,94,4.5,572,3500000,"0-10"
"46506","Shock Waves",1977,90,5.4,429,200000,"0-10"
"46509","Shock, The",1923,96,7,27,90220,"0-10"
"46546","Shooter",2004,24,7,11,25000,"0-10"
"46554","Shooting Fish",1997,103,6.6,2701,3000000,"0-10"
"46569","Shopping for Fangs",1997,90,7.6,44,100000,"0-10"
"46579","Short Cut to Nirvana: Kumbh Mela",2004,85,8.6,31,200000,"0-10"
"46593","Shot at Glory, A",2000,114,6.3,286,9000000,"0-10"
"46602","Shotgun Wedding",2003,24,9.1,8,2000,"0-10"
"46603","Shottas",2002,95,6.4,48,200000,"0-10"
"46620","Show Boat",1951,107,7,665,2295429,"0-10"
"46634","Showboy",2002,93,4.5,67,300000,"0-10"
"46644","Showgirls",1995,131,3.8,11483,45000000,"40-50"
"46646","Showtime",2002,96,5.5,7689,85000000,"80-90"
"46648","Shrek",2001,90,8,65146,60000000,"60-70"
"46649","Shrek 2",2004,92,7.8,27236,75000000,"70-80"
"46657","Shrink Is In, The",2001,87,4.9,319,6000000,"0-10"
"46660","Shtei Etzbaot Mi'Tzidon",1986,91,8.5,22,80000,"0-10"
"46686","Shutter",2001,24,3.5,12,15000,"0-10"
"46717","Sibirskiy tsiryulnik",1998,275,7.1,1254,35000000,"30-40"
"46726","Sid and Nancy",1986,110,7,3057,4000000,"0-10"
"46745","Sidewalks of New York",2001,108,6.5,1998,1000000,"0-10"
"46746","Sideways",2004,123,8,17051,16000000,"10-20"
"46768","Siege, The",1998,116,5.9,9725,70000000,"70-80"
"46801","Sign of the Pagan",1954,92,5.7,79,1300000,"0-10"
"46826","Signs",2002,108,7.1,40285,72000000,"70-80"
"46840","Silence of the Lambs, The",1991,118,8.5,92060,19000000,"10-20"
"46848","Silencio",2002,30,9.6,5,10000,"0-10"
"46853","Silent Amy",2004,41,8.4,16,7000,"0-10"
"46859","Silent Cry",2002,85,3.7,39,4500000,"0-10"
"46870","Silent Movie",1976,87,6.3,2321,4400000,"0-10"
"46872","Silent Night, Deadly Night",1984,85,4.4,563,750000,"0-10"
"46876","Silent Night, Deadly Night Part 2",1987,88,2.3,383,250000,"0-10"
"46891","Silent Trigger",1996,90,4.7,432,15000000,"10-20"
"46894","Silenzio dei prosciutti, Il",1994,81,3.4,847,3000000,"0-10"
"46901","Silk Stockings",1957,117,6.9,475,1853463,"0-10"
"46907","Silmido",2003,135,7.1,409,8000000,"0-10"
"46914","Silver Bullet",1985,95,5.6,2000,7000000,"0-10"
"46916","Silver Chalice, The",1954,142,4.1,184,4500000,"0-10"
"46941","Silverado",1985,127,7,6118,26000000,"20-30"
"46952","Simon Birch",1998,113,6.8,4612,20000000,"20-30"
"46960","Simon: An English Legionnaire",2002,90,5.7,44,3500000,"0-10"
"46967","Simple Plan, A",1998,121,7.6,15398,17000000,"10-20"
"46972","Simple Wish, A",1997,89,5,423,28000000,"20-30"
"46974","Simply Irresistible",1999,94,4.7,3083,6000000,"0-10"
"46980","Sin City",2005,124,8.3,23473,45500000,"40-50"
"46986","Sin of Harold Diddlebock, The",1947,89,6.2,172,1712959,"0-10"
"47000","Sinbad: Legend of the Seven Seas",2003,86,6.5,2340,60000000,"60-70"
"47001","Since You Went Away",1944,172,7.6,560,2400000,"0-10"
"47008","Sindrome di Stendhal, La",1996,113,5.8,972,3800000,"0-10"
"47009","Sinful Davey",1969,95,5.6,76,3000000,"0-10"
"47035","Singin' in the Rain",1952,103,8.5,20585,2540800,"0-10"
"47038","Singing Detective, The",2003,109,5.3,1184,10000000,"10-20"
"47051","Single Standard, The",1929,73,6.6,48,336000,"0-10"
"47053","Single and Dealing with It",2003,86,5,27,175000,"0-10"
"47056","Singles Ward, The",2002,102,5.7,291,500000,"0-10"
"47075","Sinnui yauman",1987,92,7.4,1606,5600000,"0-10"
"47080","Sins of Jezebel",1953,74,5,9,100000,"0-10"
"47083","Sins of the Fleshapoids",1965,40,7.9,14,1000,"0-10"
"47108","Sirota kazanskaya",1997,82,7,47,800000,"0-10"
"47119","Sista vals, En",2001,14,5.1,22,35000,"0-10"
"47130","Sisters",1973,92,6.8,1088,500000,"0-10"
"47138","Sit and Spin",2002,20,8.7,6,50000,"0-10"
"47152","Siunin Wong Fei-hung tsi titmalau",1993,90,7.4,3173,2000000,"0-10"
"47158","Six Days Seven Nights",1998,101,5.6,11112,70000000,"70-80"
"47161","Six Figures Getting Sick",1966,4,6.3,357,0,"0-10"
"47174","Six-String Samurai",1998,91,6.2,1163,2000000,"0-10"
"47178","Sixteen Candles",1984,93,6.9,8690,6500000,"0-10"
"47185","Sixth Sense, The",1999,107,8.2,96987,55000000,"50-60"
"47195","Sjunde inseglet, Det",1957,92,8.4,9622,150000,"0-10"
"47218","Skeleton Dance, The",1929,6,8.6,137,5386,"0-10"
"47220","Skeletons",1996,87,5.3,122,2200000,"0-10"
"47221","Skeletons in the Closet",2000,86,5.4,239,1500000,"0-10"
"47242","Skin Deep",2003,89,3.8,31,400000,"0-10"
"47276","Skullduggery",1970,105,4,69,4500000,"0-10"
"47279","Skulls, The",2000,106,5.3,6530,15000000,"10-20"
"47283","Sky Bandits",1986,95,3.8,29,18000000,"10-20"
"47285","Sky Captain and the World of Tomorrow",2004,106,6.5,12579,40000000,"40-50"
"47321","Slacker",1991,97,6.7,2108,23000,"0-10"
"47322","Slackers",2002,86,4.7,2755,11000000,"10-20"
"47325","Slam",1998,100,7.1,569,1000000,"0-10"
"47335","Slap Her... She's French",2002,92,4.7,811,10000000,"10-20"
"47345","Slashers",2001,97,5.2,213,165000,"0-10"
"47351","Slaughter Rule, The",2002,112,6,356,500000,"0-10"
"47379","Sledgehammer",1983,87,3.7,24,40000,"0-10"
"47389","Sleepaway Camp",1983,84,5.3,1104,350000,"0-10"
"47392","Sleeper",1973,89,7.4,5571,2000000,"0-10"
"47393","Sleepers",1996,147,7,17896,44000000,"40-50"
"47396","Sleeping Beauty",1959,75,7.4,5843,6000000,"0-10"
"47403","Sleeping Dictionary, The",2003,109,6.1,696,12000000,"10-20"
"47412","Sleepless in Seattle",1993,105,6.7,19224,21000000,"20-30"
"47415","Sleepover",2004,89,4.1,733,10000000,"10-20"
"47418","Sleepwalk",2000,98,5.7,48,100000,"0-10"
"47419","Sleepwalker",1993,2,1.5,6,15000,"0-10"
"47424","Sleepy Hollow",1999,105,7.4,38857,65000000,"60-70"
"47474","Slog Movie, The",1982,59,8,5,5000,"0-10"
"47493","Slumber Party Massacre, The",1982,77,4.4,482,250000,"0-10"
"47494","Slums of Beverly Hills",1998,92,6.4,2914,5000000,"0-10"
"47515","Small Soldiers",1998,110,5.8,6938,40000000,"40-50"
"47517","Small Time Crooks",2000,94,6.5,6218,18000000,"10-20"
"47562","Smile Like Yours, A",1997,98,4.5,348,18000000,"10-20"
"47573","Smilla's Sense of Snow",1997,120,6.3,3722,35000000,"30-40"
"47581","Smoke",1995,112,7.4,8111,7000000,"0-10"
"47584","Smoke Signals",1998,88,7.2,2665,2000000,"0-10"
"47598","Smokin' Stogies",2001,98,4.6,34,280000,"0-10"
"47619","Snackers",2004,10,7,9,13000,"0-10"
"47622","Snake Eyes",1998,98,5.7,12091,73000000,"70-80"
"47638","Snatch.",2000,102,7.9,44785,10000000,"10-20"
"47642","Snell Show, The",2003,8,9.2,15,6000,"0-10"
"47655","Snitch",1998,90,6.2,412,11000000,"10-20"
"47666","Snow Day",2000,89,4.6,1645,13000000,"10-20"
"47668","Snow Dogs",2002,99,5.1,2379,35000000,"30-40"
"47670","Snow Falling on Cedars",1999,127,6.7,4536,36000000,"30-40"
"47678","Snow White and the Seven Dwarfs",1937,83,7.8,14341,1488000,"0-10"
"47679","Snow White and the Three Stooges",1961,107,4.1,174,3500000,"0-10"
"47711","So Ends Our Night",1941,122,7.2,44,401000,"0-10"
"47773","Social Intercourse",1998,90,4.8,81,15000,"0-10"
"47813","Soft for Digging",2001,74,6.1,73,6000,"0-10"
"47823","Soho Square",2000,79,4.9,45,7000,"0-10"
"47836","Sol Goode",2001,99,5.4,291,3000000,"0-10"
"47843","Solar Crisis",1990,112,3.9,377,55000000,"50-60"
"47845","Solaris",2002,99,6.3,11808,47000000,"40-50"
"47858","Soldier",1998,98,5.2,5590,75000000,"70-80"
"47866","Soldier's Leap, The",1998,26,8.3,6,75000,"0-10"
"47872","Soldier, The",2003,10,9.2,6,3000,"0-10"
"47873","Soldiers Pay",2004,35,7,34,180000,"0-10"
"47893","Soliloquy",2001,29,7.2,12,3000,"0-10"
"47894","Soliloquy",2003,93,9.2,27,89000,"0-10"
"47901","Solitaire for 2",1995,106,4.8,122,1500000,"0-10"
"47906","Solitude",2005,74,8.6,5,5000,"0-10"
"47915","Solomon Bernstein's Bathroom",2000,20,6.4,9,35000,"0-10"
"47917","Solomon and Sheba",1959,141,5.8,254,5000000,"0-10"
"47920","Solstice",1994,48,5.1,9,130000,"0-10"
"47954","Some Like It Hot",1959,120,8.4,25369,2883848,"0-10"
"47972","Someone Like You...",2001,97,5.7,4249,23000000,"20-30"
"47991","Something Weird",1967,80,3.1,63,35000,"0-10"
"47992","Something Wicked This Way Comes",1983,95,6.5,1302,19000000,"10-20"
"48004","Something to Sing About",1937,93,6,80,900000,"0-10"
