"","title","year","length","rating","votes","budget","genre"
"26706","Johnson Family Vacation",2004,97,3.6,955,12000000,"comedy"
"26746","Jonathan Livingston Seagull",1973,120,4.6,250,1500000,"drama"
"26769","Josh Jarman",2004,96,5.4,21,1300000,"comedy"
"26777","Josie and the Pussycats",2001,98,5.2,4508,22000000,"comedy"
"26809","Journey of Jared Price, The",2000,96,5.8,155,30000,"drama"
"26834","Joy",1983,102,5,49,2000000,"drama"
"26871","Judge Dredd",1995,96,4.6,9979,90000000,"action"
"26881","Judgment",2001,105,4.6,106,11000000,"drama"
"26883","Judgment at Nuremberg",1961,186,8.2,3336,3000000,"drama"
"26889","Judith of Bethulia",1914,61,6.9,47,36000,"drama"
"26981","Junebug and Hurricane",2004,9,6.5,18,26000,"drama"
"26982","Jung (War) in the Land of the Mujaheddin",2001,114,8,27,275000,"documentary"
"26995","Jungle Book 2, The",2003,72,5.2,764,20000000,"animation"
"26997","Jungle Book, The",1994,111,5.9,1692,27000000,"romance"
"27052","Jurassic Park",1993,127,7.4,57473,63000000,"action"
"27053","Jurassic Park III",2001,92,5.6,20690,93000000,"action"
"27056","Juror, The",1996,118,5.3,2920,44000000,"drama"
"27080","Just Looking",1999,97,6.2,436,3000000,"comedy"
"27095","Just Visiting",2001,93,5.6,2212,40000000,"comedy"
"27141","Juwanna Mann",2002,91,3.9,885,15600000,"comedy"
"27148","K-19: The Widowmaker",2002,140,6.6,8292,100000000,"drama"
"27150","K-PAX",2001,120,7.2,17235,48000000,"drama"
"27188","Kafka",1991,92,6.9,1751,11000000,"drama"
"27190","Kagemusha",1980,162,7.9,3536,6000000,"drama"
"27322","Kangaroo Jack",2003,89,3.9,3661,60000000,"comedy"
"27335","Kansas City",1996,116,5.8,1077,19000000,"drama"
"27369","Karakter",1997,122,7.7,2687,4500000,"drama"
"27474","Kayitz Shel Aviya, Ha-",1988,95,7.3,57,350000,"drama"
"27488","Keane",2004,100,6.3,34,850000,"drama"
"27513","Keeper, The",2004,95,4.5,151,4000000,"drama"
"27560","Kentucky Fried Movie, The",1977,90,6.4,3756,600000,"comedy"
"27585","Key West: City of Colors",2004,64,8.4,5,90000,"documentary"
"27594","Keys of the Kingdom, The",1944,137,6.8,197,3000000,"drama"
"27626","Khwaab",2004,86,8,5,75000,"drama"
"27669","Kid from Borneo, The",1933,18,8,65,21500,"comedy"
"27695","Kids",1995,91,6.6,9099,1500000,"drama"
"27696","Kids Are Alright, The",1979,101,7.6,753,2000000,"documentary"
"27722","Kill Me Again",1989,94,6.2,643,4000000,"drama"
"27761","Killer Klowns from Outer Space",1988,88,5.3,2702,2000000,"comedy"
"27779","Killer's Kiss",1955,67,6.6,1871,75000,"drama"
"27784","Killers",1997,86,2.8,127,100000,"action"
"27805","Killing Me Softly",2002,104,5.4,1771,25000000,"drama"
"27821","Killing, The",1956,85,8.1,6980,320000,"drama"
"27851","King & Country",1964,89,7.9,144,300000,"drama"
"27895","King of Kings, The",1927,155,7.9,178,2500000,"drama"
"27909","King of the Hill",1993,109,7.4,1233,8000000,"drama"
"27918","King of the Mountain",1981,90,4.1,49,2000000,"drama"
"27945","Kingpin",1996,117,6.6,10643,25000000,"comedy"
"27961","Kinky Coaches and the Pom Pom Pussycats, The",1981,91,1.9,16,2500000,"comedy"
"27966","Kinsey",2004,118,7.6,3225,11000000,"drama"
"27989","Kiss & Tell",1996,96,5.7,68,1000000,"drama"
"28005","Kiss Me, Stupid",1964,125,7,712,3500000,"comedy"
"28027","Kiss on the Nose, A",2004,13,9.5,11,25000,"drama"
"28032","Kiss the Girls",1997,111,6.4,9041,27000000,"drama"
"28034","Kiss the Sky",1999,107,5.6,263,6000000,"romance"
"28129","Knack, The",1965,84,6.7,364,364000,"comedy"
"28153","Knock Off",1998,91,3.8,1947,35000000,"action"
"28416","Krokus: As Long as We Live",2004,82,7.3,7,200000,"documentary"
"28446","Kruimeltje",1999,119,6.7,224,5000000,"drama"
"28451","Krush Groove",1985,97,5.5,253,3000000,"drama"
"28501","Kundun",1997,128,7.1,4306,28000000,"drama"
"28602","L.A. Confidential",1997,138,8.4,69600,35000000,"drama"
"28609","L.A. Twister",2004,92,6.4,99,450000,"comedy"
"28695","Lady Be Good",1941,112,6.6,80,863460,"comedy"
"28754","Lady from Shanghai, The",1947,79,7.6,2377,2000000,"drama"
"28787","Ladyhawke",1985,121,6.8,7090,20000000,"romance"
"28790","Ladykillers, The",2004,104,6.4,10580,35000000,"comedy"
"28850","Lana's Rain",2002,107,7.1,56,215000,"drama"
"28866","Land of College Prophets, The",2005,83,6.5,25,80000,"action"
"28876","Land of the Pharaohs",1955,105,6.3,423,2900000,"drama"
"28917","Lara Croft Tomb Raider: The Cradle of Life",2003,117,5.2,9103,90000000,"action"
"28918","Lara Croft: Tomb Raider",2001,100,5.2,21861,80000000,"action"
"28941","Las Vegas Weekend",1986,83,1.1,10,2000000,"comedy"
"28972","Last Breeze of Summer",1991,30,7.6,5,60000,"drama"
"28998","Last Days of Pompeii, The",1935,96,6.5,106,1000000,"drama"
"29005","Last Emperor, The",1987,219,7.7,9507,25000000,"drama"
"29016","Last Full Measure, The",2004,18,7.5,19,50000,"drama"
"29058","Last Movie, The",1971,108,3.9,145,1000000,"drama"
"29061","Last Orders",2001,109,7.1,1583,12000000,"drama"
"29067","Last Party 2000",2001,90,6.3,205,1000000,"documentary"
"29070","Last Picture Show, The",1971,118,8,5340,1300000,"drama"
"29082","Last Resort, The",1997,86,5,62,5000000,"action"
"29097","Last Rung On the Ladder, The",1987,12,5.5,6,1500,"drama"
"29102","Last Seduction, The",1994,110,7.2,4157,2500000,"drama"
"29123","Last Temptation of Christ, The",1988,164,7.5,8074,7000000,"drama"
"29124","Last Time I Committed Suicide, The",1997,92,5.3,530,4000000,"drama"
"29125","Last Time I Saw Archie, The",1961,98,5.7,73,2000000,"comedy"
"29143","Last Word",2002,16,8,6,8500,"drama"
"29192","Late Veracity",2002,20,8,5,50000,"drama"
"29283","Lawn Dogs",1997,101,7.5,1856,8000000,"drama"
"29286","Lawnmower Man, The",1992,140,5,5799,10000000,"action"
"29287","Lawrence of Arabia",1962,227,8.6,31230,15000000,"drama"
"29290","Laws of Gravity",1992,100,6.5,283,38000,"drama"
"29319","League of Extraordinary Gentlemen, The",2003,110,5.4,15647,78000000,"action"
"29331","Learning Curve, The",2001,113,5.2,177,1000000,"drama"
"29382","Leftenan Adnan",2000,127,7.6,16,8000000,"romance"
"29394","Legally Blonde",2001,96,6.4,17572,18000000,"comedy"
"29395","Legally Blonde 2: Red, White & Blonde",2003,95,4.4,6293,45000000,"comedy"
"29397","Legend",1985,89,6.1,7744,25000000,"romance"
"29403","Legend of Blood Mountain, The",1965,65,1.1,19,750000,"comedy"
"29404","Legend of Boggy Creek, The",1973,85,4.3,273,100000,"drama"
"29421","Legend of Razorback, The",2002,25,5.1,29,50000,"comedy"
"29444","Leggenda del pianista sull'oceano, La",1998,120,7.6,3599,9000000,"drama"
"29451","Legion of the Dead",2001,92,3.4,374,2700000,"comedy"
"29453","Legion of the Night",1995,85,4,27,80000,"action"
"29456","Legionnaire",1998,98,4.5,1773,35000000,"action"
"29489","Lemony Snicket's A Series of Unfortunate Events",2004,108,6.7,8402,125000000,"comedy"
"29498","Lengua asesina, La",1996,98,4,244,4000000,"comedy"
"29538","Leprechaun",1993,92,3.6,2288,900000,"comedy"
"29539","Leprechaun 2",1994,86,3.6,648,2000000,"comedy"
"29696","Levity",2003,100,6.4,1459,7500000,"drama"
"29710","Leylasede",1995,100,6.6,29,700000,"drama"
"29729","Lianna",1983,110,6.9,258,300000,"drama"
"29732","Liar Liar",1997,86,6.5,22969,45000000,"comedy"
"29746","Liberata Me",2002,27,6.7,15,66000,"drama"
"29760","Liberty Bound",2004,90,4.7,60,100000,"documentary"
"29762","Liberty Stands Still",2002,92,5.6,1560,11000000,"drama"
"29772","Licence to Kill",1989,133,6.2,8523,40000000,"action"
"29774","License to Drive",1988,88,5.3,2163,8000000,"comedy"
"29850","Life and Times of MC Beer Bong, The",2004,85,8.8,6,1000,"comedy"
"29857","Life in Bed",2003,75,8.3,6,750000,"comedy"
"29859","Life of Brian",1979,94,8.1,33325,4000000,"comedy"
"29860","Life of David Gale, The",2003,130,7.1,10580,50000000,"drama"
"29904","Light It Up",1999,99,5.7,856,13000000,"drama"
"29905","Light Sleeper",1992,103,6.8,742,5000000,"drama"
"29926","Lightning Over Braddock: A Rustbowl Fantasy",1988,80,5.8,9,54000,"documentary"
"29934","Lights of New York",1928,57,5,61,75000,"drama"
"29947","Like Mike",2002,99,4.9,1484,30000000,"comedy"
"29993","Limbo",1999,126,7.1,2063,8300000,"drama"
"29999","Limey, The",1999,89,7.2,7732,9000000,"drama"
"30025","Line of Masculinity, The",2003,4,8.2,10,1000,"comedy"
"30053","Lionheart",1990,105,5.1,2123,2500000,"action"
"30069","Liquid Lips",1976,73,5.7,11,12000,"action"
"30086","List of Adrian Messenger, The",1963,98,7,642,3000000,"drama"
"30109","Little American, The",1917,80,7.1,20,166949,"drama"
"30131","Little Boy Lost",1978,90,4.9,18,395000,"drama"
"30164","Little Fugitive",1953,80,7.7,235,30000,"drama"
"30167","Little Giant, The",1933,76,6.8,63,197000,"comedy"
"30197","Little Minister, The",1934,110,6.4,111,650000,"drama"
"30217","Little Odessa",1994,98,6.5,1222,2300000,"drama"
"30242","Little Secrets",2001,97,6.9,457,2500000,"drama"
"30247","Little Shop of Horrors",1986,94,6.4,8911,30000000,"comedy"
"30248","Little Shop of Horrors, The",1960,70,6.2,1988,27000,"comedy"
"30263","Little Vampire, The",2000,91,5.6,601,22000000,"comedy"
"30275","Littlest Cowboy, The",2003,19,7.5,13,10000,"comedy"
"30301","Live and Let Die",1973,121,6.6,8022,7000000,"action"
"30312","Living Daylights, The",1987,130,6.4,7495,30000000,"action"
"30320","Living Life",2004,88,3.5,30,150000,"drama"
"30346","Lizzie McGuire Movie, The",2003,94,5,2541,17000000,"comedy"
"30355","Llamada de apareamiento",2004,3,6.4,15,2000,"comedy"
"30413","Logan's Run",1976,120,6.5,5441,9000000,"action"
"30468","Lone Star",1996,135,7.7,8518,5000000,"drama"
"30500","Lonesome Jim",2005,91,4.1,96,500000,"drama"
"30518","Long Gray Line, The",1955,138,6.9,364,1748000,"drama"
"30600","Lookin' to Get Out",1982,105,3.6,83,17000000,"comedy"
"30657","Lord of the Rings, The",1978,132,5.8,5734,8000000,"animation"
"30658","Lord of the Rings: The Fellowship of the Ring, The",2001,208,8.8,157608,93000000,"action"
"30659","Lord of the Rings: The Return of the King, The",2003,251,9,103631,94000000,"action"
"30660","Lord of the Rings: The Two Towers, The",2002,223,8.8,114797,94000000,"action"
"30667","Lorna",1964,78,4.9,138,60000,"drama"
"30680","Loser",1996,85,7.2,70,38000,"drama"
"30684","Losin' It",1983,100,4.5,645,7000000,"comedy"
"30687","Losing Isaiah",1995,111,6.1,794,17000000,"drama"
"30688","Losing Lois Lane",2004,20,7.1,24,6000,"comedy"
"30690","Loss of Sexual Innocence, The",1999,106,5.3,977,4000000,"drama"
"30699","Lost Boundaries",1949,99,6.9,15,250000,"drama"
"30713","Lost Highway",1997,135,7.3,15936,15000000,"drama"
"30714","Lost Horizon",1937,118,7.7,2103,2000000,"drama"
"30741","Lost Weekend, The",1945,101,8.1,2661,1250000,"drama"
"30746","Lost World: Jurassic Park, The",1997,129,5.5,28055,73000000,"action"
"30754","Lost in Alaska",1952,80,5.4,183,672000,"comedy"
"30756","Lost in Space",1998,130,4.7,15209,80000000,"action"
"30767","Lost/Found",2003,70,8.4,15,15000,"drama"
"30813","Love",2005,90,7.8,12,350000,"drama"
"30894","Love Liza",2002,90,6.6,1588,1000000,"drama"
"30911","Love Object",2003,88,6.3,427,1000000,"comedy"
"30922","Love Stinks",1999,94,5.3,1311,4000000,"comedy"
"30944","Love and Death",1975,85,7.6,4193,3000000,"comedy"
"30992","Love, Ludlow",2005,97,8.6,22,75000,"comedy"
"31059","Lu mao zi",2004,100,7.5,34,500000,"drama"
"31099","Lucky Break",2001,108,6.3,707,6000000,"comedy"
"31115","Lucky Numbers",2000,105,5,2396,65000000,"comedy"
"31176","Lumpia",2003,80,6,13,1000,"comedy"
"31205","Lunes al sol, Los",2002,113,7.8,1466,4000000,"drama"
"31263","Luz prodigiosa, La",2003,108,7,44,2000000,"drama"
"31393","Machuca",2004,121,8.4,449,1500000,"drama"
"31424","Mad City",1997,115,6,3965,50000000,"drama"
"31442","Mad Love",1935,68,7.1,322,257502,"romance"
"31447","Mad Max",1979,93,6.8,11542,350000,"action"
"31459","Madadayo",1993,134,7.4,554,11900000,"drama"
"31486","Madchen's Uniform",2004,13,7.8,10,1000,"comedy"
"31493","Made Incorrect",2002,18,8.2,6,25000,"drama"
"31534","Madness and Genius",2003,103,6.4,20,19000,"drama"
"31540","Madonna: Truth or Dare",1991,114,5.5,2660,4500000,"documentary"
"31600","Magic Roundabout, The",2005,85,5.7,142,20000000,"animation"
"31612","Magic of Marciano, The",2000,100,6.7,73,4500000,"drama"
"31633","Magnificent Ambersons, The",1942,131,8,3407,850000,"drama"
"31650","Magnolia",1999,188,8,45992,37000000,"drama"
"31724","Major League",1989,107,6.7,8078,11000000,"comedy"
"31782","Mala Noche",1985,78,7.5,75,25000,"drama"
"31806","Malcolm X",1992,202,7.5,6873,34000000,"drama"
"31832","Malibu Express",1985,105,3.9,154,500000,"action"
"31834","Malibu's Most Wanted",2003,86,4.9,2099,16000000,"comedy"
"31866","Mama",1999,100,6,66,3000000,"drama"
"31880","Mamay",2003,80,6.6,14,200000,"drama"
"31912","Man Betrayed, A",1941,82,4.7,52,250000,"drama"
"31922","Man Called... Rainbo, A",1990,99,5.4,53,35000,"comedy"
"31962","Man Who Knew Too Much, The",1956,120,7.4,5388,2500000,"drama"
"32001","Man for All Seasons, A",1966,120,8,4356,3900000,"drama"
"32009","Man from Elysian Fields, The",2001,106,6.8,1198,6500000,"drama"
"32097","Man with a Plan",1996,89,7.1,68,100000,"comedy"
"32120","Man-Thing",2005,96,3.8,163,30000000,"action"
"32166","Manhattan Murder Mystery",1993,104,7.3,5044,13500000,"comedy"
"32171","Manhunter",1986,124,7.2,7272,15000000,"drama"
"32178","Maniac",1980,85,5.2,732,350000,"drama"
"32179","Maniac Cop",1988,85,5,709,1100000,"action"
"32180","Maniac Cop 2",1990,90,4.4,360,4000000,"action"
"32199","Manito",2002,79,7.2,145,24000,"drama"
"32223","Manners of Dying",2004,104,7.4,16,750000,"drama"
"32225","Manny & Lo",1996,88,6.9,395,500000,"drama"
"32276","Maquinista, El",2004,102,7.7,4322,5000000,"drama"
"32318","Marci X",2003,80,2.8,741,20000000,"comedy"
"32328","Marco Polo: Haperek Ha'aharon",1996,127,4.6,23,3300000,"drama"
"32355","Maria Chapdelaine",1983,107,6.4,40,4600000,"drama"
"32365","Mariachi, El",1992,81,7,6817,220000,"action"
"32405","Marilyn's Man",2004,92,7.6,24,825000,"documentary"
"32432","Mark of Cain",1985,90,4.1,12,1000000,"drama"
"32460","Marnie",1964,130,7.1,4373,3000000,"drama"
"32462","Marooned",1969,134,5.1,583,8000000,"drama"
"32471","Marriage Circle, The",1924,92,8,96,212000,"comedy"
"32490","Mars",1998,91,3.3,156,4500000,"action"
"32491","Mars",2004,100,6.8,23,2000000,"comedy"
"32518","Martin",1977,95,6.9,847,800000,"drama"
"32545","Mary Jane's Not a Virgin Anymore",1997,98,5.9,41,50000,"drama"
"32548","Mary Reilly",1996,108,5.5,2806,47000000,"drama"
"32639","Master of Disguise, The",2002,80,2.9,3903,16000000,"comedy"
"32652","Mata Hari",1931,89,6.8,229,558000,"drama"
"32655","Matador, El",2003,90,7.1,11,26000,"comedy"
"32665","Match King, The",1932,79,6.6,37,165000,"drama"
"32677","Matewan",1987,132,7.6,1877,4000000,"drama"
"32708","Matrix Reloaded, The",2003,138,7.1,57225,127000000,"action"
"32709","Matrix Revolutions, The",2003,125,6.3,40058,110000000,"action"
"32710","Matrix, The",1999,136,8.5,143853,63000000,"action"
"32751","Max Keeble's Big Move",2001,86,5.3,587,12000000,"comedy"
"32769","May",2002,93,6.8,3324,1700000,"drama"
"32787","Mayor of Hell, The",1933,90,6.8,80,229000,"drama"
"32811","McHale's Navy",1997,108,3.7,1758,42000000,"comedy"
"32815","McLintock!",1963,127,7,1289,2000000,"comedy"
"32846","Me, Myself & Irene",2000,116,6,21305,51000000,"comedy"
"32851","Mean Creek",2004,89,7.3,2094,500000,"drama"
"32858","Mean People Suck",2003,8,4.7,48,10000,"comedy"
"32860","Mean Streets",1973,107,7.5,8008,150000,"drama"
"32863","Meaning of Life, The",1983,112,7.3,12351,9000000,"comedy"
"32893","Medicine Man",1992,106,5.7,4190,40000000,"romance"
"32922","Meet Me in St. Louis",1944,113,7.7,2480,1707561,"romance"
"32927","Meet the Applegates",1991,90,5,464,1000,"comedy"
"32929","Meet the Deedles",1998,93,3.4,443,24000000,"comedy"
"32932","Meet the Fockers",2004,115,6.5,11950,80000000,"comedy"
"32933","Meet the Hollowheads",1989,86,5,70,4800000,"comedy"
"32936","Meet the Parents",2000,108,7,30804,55000000,"comedy"
"32950","Megaforce",1982,99,2.7,562,20000000,"action"
"33034","Memento",2000,113,8.7,90317,5000000,"drama"
"33037","Memoirs of an Evil Stepmother",2004,18,8,6,20000,"comedy"
"33038","Memoirs of an Invisible Man",1992,99,5.6,3038,40000000,"comedy"
"33059","Memron",2004,79,9,11,65000,"comedy"
"33081","Men in Love",1989,85,2.9,23,350000,"drama"
"33088","Men of Honor",2000,129,6.6,9684,32000000,"drama"
"33111","Meng long guojiang",1972,90,6.6,1775,130000,"action"
"33153","Mercano, el marciano",2002,72,6.2,110,600000,"animation"
"33170","Mercy",2003,112,5.8,6,5000,"drama"
"33219","Mesmerized",1986,94,4.7,147,5654930,"drama"
"33228","Message, The",1976,177,7.5,743,10000000,"drama"
"33265","Meteor",1979,107,4.5,1116,16000000,"drama"
"33363","Michael Collins",1996,133,6.8,5009,25000000,"drama"
"33368","Michael Moore Hates America",2004,125,4.2,629,200000,"documentary"
"33380","Mickey",2004,90,5.4,52,6000000,"drama"
"33441","Midnight Clear, A",1992,107,7.5,2147,5000000,"drama"
"33443","Midnight Cowboy",1969,113,7.9,13091,3600000,"drama"
"33448","Midnight Express",1978,121,7.6,7617,2300000,"drama"
"33476","Midnight in the Garden of Good and Evil",1997,155,6.4,8517,30000000,"drama"
"33509","Mighty Aphrodite",1995,95,7,7083,15000000,"comedy"
"33572","Miles Ahead",2004,83,6.1,17,55000,"drama"
"33590","Milky Way, The",1936,89,6.9,151,1032000,"comedy"
"33605","Miller's Crossing",1990,115,8,14575,14000000,"drama"
"33609","Million Dollar Baby",2004,132,8.3,20195,30000000,"drama"
"33612","Million Dollar Hotel, The",2000,122,5.5,4746,8000000,"drama"
"33656","Mimmo & Paulie",2004,29,9.8,13,12000,"drama"
"33690","MindField",2003,63,9,5,6000,"drama"
"33696","Mindhunters",2004,102,6.3,3925,27000000,"action"
"33714","Minion, The",1998,95,3.2,338,12000000,"action"
"33753","Miracle Worker, The",1962,106,7.9,2130,500000,"drama"
"33810","Misbehavers, The",2004,120,7.7,21,10000,"documentary"
"33820","Misery",1990,107,7.5,13120,20000000,"drama"
"33826","Mishima: A Life in Four Chapters",1985,121,7.5,772,5000000,"drama"
"33837","Miss Cast Away",2004,90,4,27,2000000,"comedy"
"33838","Miss Congeniality",2000,109,6.2,16235,45000000,"comedy"
"33853","Miss Pacific Fleet",1935,66,5.7,9,202798,"comedy"
"33896","Mission to Mars",2000,113,4.9,15018,90000000,"drama"
"33898","Mission to Moscow",1943,124,6.6,89,1516000,"drama"
"33901","Mission: Impossible",1996,110,6.6,33496,75000000,"action"
"33902","Mission: Impossible II",2000,123,5.7,35958,125000000,"action"
"33913","Mississippi Burning",1988,128,7.6,8084,15000000,"drama"
"33920","Missy",2001,71,9.6,19,5000,"drama"
"33972","Mix Tape",2003,97,7.7,7,15000,"comedy"
"34001","Mo' Better Blues",1990,130,6.1,1408,10000000,"drama"
"34014","Moby Dick",1956,115,7.3,1887,4500000,"drama"
"34019","Mockingbird Don't Sing",2001,99,6.3,195,3000000,"drama"
"34038","Modern Times",1936,87,8.5,10326,1500000,"comedy"
"34044","Modesty Blaise",1966,119,5,452,3000000,"comedy"
"34045","Modigliani",2004,128,7,155,12000000,"drama"
"34093","Molly Maguires, The",1970,124,6.6,455,11000000,"drama"
"34130","Mommie Dearest",1981,129,6.2,1696,5000000,"drama"
"34176","Mondo Topless",1966,60,3.9,117,12000,"documentary"
"34177","Mondo Trasho",1969,95,6,161,2100,"comedy"
"34198","Money Pit, The",1986,91,5.6,6392,10000000,"comedy"
"34263","Monsieur Klein",1976,123,7.3,390,3500000,"drama"
"34276","Monsoon Wife",2004,92,4.7,15,1000000,"drama"
"34278","Monster",2003,109,7.4,12306,8000000,"drama"
"34290","Monster and the Peanut, The",2004,18,8.9,8,10000,"drama"
"34339","Monty Python and the Holy Grail",1975,91,8.4,60565,250000,"comedy"
"34358","Moon and Sixpence, The",1943,89,6.7,34,401000,"drama"
"34385","Moonrise",1948,90,7.3,86,849452,"drama"
"34419","More American Graffiti",1979,110,4.6,624,3000000,"comedy"
"34461","Morning Guy, The",2003,5,8.6,5,5000,"comedy"
"34491","Mortal Kombat",1995,101,5,8779,20000000,"action"
"34492","Mortal Kombat: Annihilation",1997,91,3,5799,30000000,"action"
"34536","Mosquito Coast, The",1986,117,6.4,4643,16000000,"drama"
"34564","Motel Hell",1980,102,5.2,791,3000000,"comedy"
"34582","Mother Machree",1928,75,3.9,23,750000,"drama"
"34592","Mother's Day",1980,98,4.6,487,150000,"comedy"
"34597","Mothering Heart, The",1913,23,7.1,35,1800,"drama"
"34611","Motor Psycho",1965,74,4.9,151,38000,"drama"
"34625","Moulin Rouge",1952,119,7.4,630,1500000,"drama"
"34686","Moving",2002,97,7.9,9,9000,"comedy"
"34839","Ms. 45",1981,81,6.3,500,62000,"drama"
"34850","Much Ado",2003,86,6,11,10000,"comedy"
"34865","Mudge Boy, The",2003,94,6.8,204,800000,"drama"
"34867","Mudhoney",1965,92,5.6,140,60000,"drama"
"34881","Muertos de risa",1999,111,6.3,334,3500000,"comedy"
"34926","Mulholland Dr.",2001,147,7.9,35504,15000000,"drama"
"34938","Multiple Maniacs",1970,90,6.6,238,5000,"comedy"
"34940","Multiplicity",1996,117,5.7,5241,45000000,"comedy"
"34952","Mummy Returns, The",2001,130,6.1,23551,98000000,"action"
"34991","Muppets From Space",1999,88,6,2766,24000000,"comedy"
"35089","Muse, The",1999,97,5.6,3513,15000000,"comedy"
"35114","Music of the Heart",1999,124,6.6,2348,27000000,"drama"
"35153","Mute Witness",1994,95,6.8,1202,2000000,"comedy"
"35164","Mutiny on the Bounty",1935,127,7.8,2548,1950000,"drama"
"35165","Mutiny on the Bounty",1962,178,6.9,1397,19000000,"drama"
"35206","My Body's Revolting",2002,15,7.4,5,12260,"comedy"
"35228","My Cousin Vinny",1992,120,7.2,10877,11000000,"comedy"
"35243","My Dog Skip",2000,95,7.1,3109,7000000,"drama"
"35247","My Family",1995,128,7,859,5500000,"drama"
"35254","My Father's Son",2002,80,8.4,9,60000,"documentary"
"35261","My Favorite Martian",1999,93,4.5,1942,60000000,"comedy"
"35266","My Fellow Americans",1996,101,6.3,2752,21500000,"comedy"
"35296","My Hustler",1965,79,7,39,0,"drama"
"35308","My Life's in Turnaround",1993,84,3.9,196,22000,"comedy"
"35334","My Own Private Idaho",1991,102,6.7,5619,2500000,"drama"
"35343","My Samurai",1992,87,3.8,20,700000,"action"
"35354","My Stepmother Is an Alien",1988,105,4.7,4080,16000000,"comedy"
"35371","My X-Girlfriend's Wedding Reception",2001,88,5.8,24,500000,"comedy"
"35376","Myra Breckinridge",1970,91,4,431,5000000,"comedy"
"35436","Mystic Masseur, The",2001,117,5.2,157,2500000,"drama"
"35439","Mystic River",2003,137,8,28969,30000000,"drama"
"35517","Nadar solo",2003,94,7.5,86,20000,"drama"
"35526","Nadja",1994,93,5.7,781,1000000,"drama"
"35582","Naked Gun 33 1/3: The Final Insult",1994,83,5.8,8918,30000000,"comedy"
"35597","Naked Paradise",1957,68,1.9,8,90000,"drama"
"35611","Naked Zoo, The",1971,78,1.3,5,250000,"drama"
"35616","Naken",2000,94,4.8,420,25000,"comedy"
"35619","Nakta(dul)",2002,90,6.5,26,75000,"drama"
"35625","Name der Rose, Der",1986,130,7.7,11654,20000000,"drama"
"35663","Nanook of the North",1922,79,7.6,846,53000,"documentary"
"35668","Napoleon Dynamite",2004,86,7.2,17524,400000,"comedy"
"35676","Naqoyqatsi",2002,89,6.9,575,3000000,"documentary"
"35681","Narc",2002,105,7.3,7185,7500000,"drama"
"35691","Narrow Corner, The",1933,69,5.6,29,240000,"drama"
"35743","National Treasure",2004,131,6.6,12361,100000000,"action"
"35749","Native Son",1986,111,5.9,125,2000000,"drama"
"35771","Natural, The",1984,134,7.4,7353,28000000,"drama"
"35812","Navigator, The",1924,75,7.8,647,220000,"comedy"
"35820","Navy Blues",1941,108,7.1,25,1200000,"comedy"
"35902","Neighbors",1981,94,4.9,1419,8500000,"comedy"
"35949","Neon Maniacs",1986,91,4,142,1500000,"comedy"
"35962","Neredesin Firuze",2004,128,7.9,216,1500000,"comedy"
"35981","Netherbeast of Berm-Tech Industries, Inc., The",2004,5,4.2,19,3000,"comedy"
"35987","Network",1976,121,8,9501,3800000,"drama"
"36011","Never Been Thawed",2005,87,5.3,40,35000,"comedy"
"36028","Never Say Never Again",1983,121,6.1,7537,36000000,"action"
"36076","New Guy",2003,85,7.5,47,55000,"comedy"
"36077","New Guy, The",2002,89,5.2,4266,13000000,"comedy"
"36081","New Jersey Drive",1995,98,5.4,348,5000000,"drama"
"36128","New York, New York",1977,163,6.3,1616,14000000,"drama"
"36140","News for the Church",2004,19,8.7,15,50000,"drama"
"36143","Newsies",1992,121,5.7,2997,15000000,"drama"
"36149","Next Friday",2000,98,5.2,3457,9500000,"comedy"
"36220","Nicholas Nickleby",2002,132,7.4,1651,10000000,"drama"
"36235","Nickel Children, The",2005,95,5.8,13,2000000,"drama"
"36240","Nickelodeon",1976,121,6,291,9000000,"comedy"
"36390","Night at the Roxbury, A",1998,81,5.1,5937,17000000,"comedy"
"36428","Night of the Hunter, The",1955,93,8.2,7543,795000,"drama"
"36429","Night of the Iguana, The",1964,112,7.3,1099,3000000,"drama"
"36443","Night of the Snakehead Fish",2003,54,7.4,5,1500,"comedy"
"36479","Nightmare Before Christmas, The",1993,76,7.8,19646,18000000,"animation"
"36484","Nightmare On Elm Street 3: Dream Warriors, A",1987,88,5.8,4962,4000000,"comedy"
"36485","Nightmare On Elm Street 4: The Dream Master, A",1988,99,4.8,3856,13000000,"comedy"
"36486","Nightmare On Elm Street Part 2: Freddy's Revenge, A",1985,87,4.5,4488,3000000,"comedy"
"36488","Nightmare On Elm Street: The Dream Child, A",1989,89,4.3,2988,6000000,"comedy"
"36520","Nikmato Shel Itzik Finkelstein",1993,83,7.3,7,500000,"comedy"
"36522","Nikos",2003,100,3.6,93,65000,"comedy"
"36525","Nil by Mouth",1997,128,6.9,1159,9000000,"drama"
"36604","Nisuim Fiktiveem",1988,90,7.1,7,25000,"drama"
"36613","Nixon",1995,212,6.8,5837,50000000,"drama"
"36621","No Blade of Grass",1970,96,6.2,82,1500000,"drama"
"36638","No Escape",1994,118,5.6,2372,20000000,"action"
"36667","No More Excuses",1968,62,1,7,12000,"comedy"
"36730","No Way Home",1996,99,6.6,328,4000000,"drama"
"36754","Noah's Ark",1929,75,5.9,73,2000000,"drama"
"36801","Nochnoy dozor",2004,115,6.3,1020,4200000,"action"
